0	Kingdom	Phylum	Class	Order	Family	Genus
11394	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
11393	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter
11392	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8229	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	unclassified
8228	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
8227	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8225	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	unclassified
8224	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum
8223	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8221	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia
8219	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified
8164	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella
8163	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
8162	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8103	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
8102	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8101	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
8100	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
8099	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
8098	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8097	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
8096	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified
